,state,city,report_date,product_description,product_quantity,reason_for_recall,recalling_firm,recall_number
10,NJ,Englewood,20120711,"Frozen Oysters, Net Wt 1 LBS (454g).   Distributed by: Seoul Shik Poom, Engleside, NJ.  Origin: Republic of Korea.",412 cases,Korean Certified Shippers delisted from ICSSL.,"Seoul Shik Poom, Inc.",F-1713-2012
11,MI,Grand Rapids,20121024,#319 Cherry Chicken Penne Salad	319	5 pounds,155,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",Spartan Central Kitchen,F-0244-2013
12,CA,Hayward,20121212,"Sukhi's  Gourmet Indian Food;  Red Curry Vegetables; 9 oz. package.  Manufactured by  Jagpreet Enterprises dba Sukhi's Gourmet Indian Foods; Hayward, CA 94545",,A consumer complaint determined that some boxes of Red Curry and Vegetables were inadvertently packaged with Yellow Curry with Shrimp.,Jagpreet Enterprises Inc.,F-0804-2013
13,WI,Milwaukee,20120919,Garden-Fresh Family Style Macaroni Salad	2060 5 lbs	0 11596 52060 5,3120 lbs,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.","Garden-Fresh Foods, Inc.",F-2209-2012
14,NM,Portales,20121031,"Naturally More Peanut Butter Crunchy, Net Wt. 16 oz, UPC 5859500033, Distributed by SNAClite LLC, PO BOX 661436, Birmingham, AL 35226.  Labeling is tan, yellow and white with photos of peanuts and red and black print writing.","18,780 x 16 oz","Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0347-2013
15,NY,Spencer,20120620,"better batter brand Gluten Free Pancake & Biscuit Mix packaged in chip board box, in 20 oz. (UPC 8 96439 00207 0) and in 2.5 lb sizes (UPC 8 96439 00203 2).   The 20 oz. product is labeled in part, ""*** better batter PANCAKE & BISCUIT MIX *** 20 OZ *** UPC 8 96439 00207 0***"".   The 2.5 lb. product is labeled in part, ""*** better batter gluten free pancake/biscuit mix *** 2.5 lb ***.","20 oz product: 4,837 retail packages; 2.5 lb. product: 3,517 retail packages","The product was found to contain undeclared milk, a known allergen, from a sub-ingredient in the powdered sunflower oil.",Raymond Hadley Corporation,F-1393-2012
16,WI,Oconto Falls,20121017,"Springside Cheese, Colby Cheese, 55-0172,  V3, August 27, 2012.","41,616.53 lbs total","Springside Cheese Corp. is recalling cheese produced on August 21, 2012 through September 1, 2012.  This voluntary recall has been initiated because the cheese has the potential to be contaminated with Giardia, a parasite, from an employee illness.",Springside Cheese Corp,F-0071-2013
17,IL,Chester,20121128,"Gilster-Mary Lee Corporation, Better Valu Fruit Whirls, Naturally Flavored packaged in a 28 oz (1 LB 12 OZ) (794g) plastic bag. (manufactured by Gilster Mary Lee, Joplin, MO)",102 cases/8/28-oz plastic bags,The Better Valu Fruit Whirls contain undeclared almond butter.,Gilster-Mary Lee Corp.,F-0722-2013
18,CA,Irwindale,20121003,"Ready Pac¿ Gourmet Fruit Bowl, 64oz , UPC 7774522620, Use by dates 9/9/2012 or earlier and 9/7/2012 & 9/8/2012.",2945 cases,"Firm is voluntarily recalling, out of an abundance of caution, packaged fruit products containing mangoes, distributed through August 30th 2012, since they contain Daniella Brand mandoes, which have been recalled by supplier Splendid Products, due to potential contamination with Salmonella Braenderup.",Ready Pac Foods Inc,F-2384-2012
19,KY,Louisville,20121226,Dried Apricots 6 oz UPC 7203670494,"15,900 (6oz) units",Undeclared sulphur dioxide,Whole Alternatives Llc,F-0830-2013
20,CA,Sacramento,20120815,"Southwest  Style Portabella Mushrooms: 8.0 oz  .  Packaged under the brand names of Garden Highway Chef Essentials, Raley's and Sprouts.  Manufactured by GH Foods CA LLC,  Rancho Cordova, CA.",,GH Foods CA received notification from Gills onions of a recall of onions due to Listeria Monocytogenes. GH Foods used the recalled onions in numerous product.,GH Foods CA LLC,F-1904-2012
21,GA,Brunswick,20120620,"Mrs.Friday's brand, Gourmet Breaded Oysters, Small 26-34 CT, Ready to Fry, Net Wt 2.5 lbs (1.13 kg).","3,531 cases","The product has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",King & Prince Seafood,F-1430-2012
22,NM,Portales,20121031,"Sunland Organic Valencia Roasted and Blanched Bar Ready Peanuts, 30 lb UPC 41331.","3,267 x 30 lb","Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0490-2013
23,WI,Milwaukee,20120919,"Roundy's Old Fashioned Cream Dill Dip, 12 oz., 0 11150 52603 6",112.5 lbs,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.","Garden-Fresh Foods, Inc.",F-2216-2012
24,NJ,S Hackensack,20120815,"Dried Brewers Yeast TG_YFS004  Naturex 375 Huyler Street, South Hackensack, NJ 07606 USA Phone: 1 201 440 5000 Net Wt 25 kg",4500 kg,The affected lots were tested and found to contain an unusual high level of selenium.,Naturex Inc.,F-1858-2012
25,CA,Salinas,20120718,Romaine Lettuce tied with a rubber band,"945 cases (891 returned, 35 cases destroyed)",Positive field test for Salmonella.,Pacific International Marketing,F-1758-2012
26,WI,Milwaukee,20120919,"Bow Tie Pastas: 1) Copperwood Kitchens Venetian Bow Tie Pasta, 5 lbs., 8 11839 01031 9; 2) Garden-Fresh Venetian Bowtie Pasta, 5 lbs., 0 11596 520278",540 lbs,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.","Garden-Fresh Foods, Inc.",F-2195-2012
27,CA,Oakland,20121114,"Ridgebar Peanut Butter Crunch, 40 grams",1269,"Creative Energy Foods manufactured nutrition bars with peanuts from Sunland, Inc which are under recall for the potential to be contaminated with salmonella.","Creative Energy Foods, Inc. LLC",F-0613-2013
28,OH,Akron,20121226,"Arnold's Candies  Handmade Since 1953 www.arnoldscandies.com Root Beer Puffs Puffs***INGREDIENTS: Sugar, Cream of Tarter, Artificial Flavoring and Coloring WARNING: Manufactured in a facility that also handles peanuts NET WT 6 oz (170g) 0 73629 00307 3 931 High Grove Blvd Akron, OH 44312 Best By: 06/04/2014(19)1 lot code 05212012",200 cases/24/6 oz bags,"The firm was notified by the New York State Department of Agriculture & Marketing, that they failed to include the colors Yellow #5 and Blue #1 on their label.","Dauphin Holdings, Inc. DBA Arnolds Candies",F-0847-2013
29,CA,Solana Beach,20121031,"Peanut Butter Bars Original: 3.0 oz, Two-Bar Box,  UPC Code 837305005023, Manufactured by Sweet's Candy Company, Salt Lake City, UT; 2) 1.5 oz, One-Bar Box, UPC Code 837305006235; 3) .45 oz, Change Makers, UPC  Code 837305005832; 4) 4 oz., Gable Box, UPC Code 837305005795",15/48 x 3.0 oz packages,"A voluntary limited recall has been initiated by Jer's Chocolates of some of its Gourmet Peanut Butter Bars and Gourmet Jer's Squares produced from July 9, 2012 to September 24, 2012 in response to Sunland, Inc.'s voluntary recall of nut butter products because they have the potential to be contaminated with Salmonella.  Sunland, Inc. supplies the peanut butter used in the production of Jer's Choc",Jer's Chocolates,F-0308-2013
30,FL,Lakeland,20121024,***Publix***Hearts of Romaine***Chopped Hearts of Romaine***Triple Washed***& Ready to Eat***No Preservatives***NET WT 10 OZ (284g)***,763 cases,Listeria Monocytogenes in a sample collected by IEH and confirmed by FDA,Publix Super Markets,F-0108-2013
31,NM,Portales,20121031,"Sunland Valencia Natural Crunchy, 16 oz UPC 48687219063.",1864 x 16 oz,"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0502-2013
32,PA,Gap,20121003,"McClure's Pies & Salads, Inc. Chocolate Cake",96 cakes,"Undeclared allergens.  Ingredient statement lists ""flour"" but is not specific for wheat flour.","McClures, Inc.",F-2401-2012
33,CA,Oxnard,20120627,"3/8"" Diced Red Onions, 5 LB. Bag","2,360 lbs total","The recall was initiated because Gills Onions, LLC  was informed by FDA of lab results from the Canadian Food Inspection Agency that diced red onions with lot # 51RDA1A2119 may be contaminated with Listeria monocytogenes.","Gills Onions, LLC",F-1540-2012
34,MA,Brockton,20120926,Spence & Co Ltd brand  8oz  Smoked Salmon Trim,119 units,Product tested positive for Listeria monocytogenes,"Spence & Co., Ltd.",F-2329-2012
35,MD,Hyattsville,20121205,"Ground Hot Pepper Chillies, 5 oz. plastic jars, 24 jars/case; jars labeled in part ***Imported and distributed by Nina International Inc., P.O. Box 2176, Hyattsville, MD 20784***Product of Ghana***",36 cases,Food may be contaminated with Salmonella.,"Ernimich, Inc. (dba Nina International, Inc.)",F-0734-2013
36,CA,Pleasanton,20120912,"""SAFEWAY farms White Sliced Mushrooms***DISTRIBUTED BY SAFEWAY INC.***PLEASATON, CA***PRODUCT OF CANADA***NET WT 8 OZ (227g)""  UPC 0 21130 28443 6","230 cases from Auburn, WA DC; 50 cases from Spokane, WA DC",Champs 8 oz Sliced White Mushrooms are recalled due to potential contamination of Listeria monocytogenes,Safeway Inc,F-2114-2012
37,CA,Fremont,20120926,"Olive Leaf Organic Whole;  Distributed by San Francisco Herb and Natural Food Co.  Fremont, Ca.",xx,CA Department of Public Health inspectors found a pervasive infestation of mice in the facility.,San Francisco Herb & Natural Food Company,F-2306-2012
38,CA,San Diego,20120620,Pacific Pearl Smoked Oyster Water 12 units per case,"36,775 units","Chicken of the Sea is recalling Oysters supplied by Chicken of the Sea under the Chicken of the Sea, Pacific Pearl, and Ace of Diamonds brands because the products have been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.","Tri-Union Seafoods, L.L.C dba Chicken of the Sea.",F-1434-2012
39,NJ,Rahway,20120926,"Crispy Punjabi Cookies, By TWI Foods, Net Wt. 800g/1.76 lb, Manufactured by TWI Foods, Inc. 1-866-9-CRISPY, www.crispyjustbaked.com, UPC 627265001520, Product of Canada.",96 Cases (14 packages/case),This recall has been initiated as a precaution due to Non-Declared Milk.  Certain packages may be packaged with ingredient statements not labeled to include the milk ingredient.,"Indian Foods & Spices, LLC",F-2327-2012
40,CA,Oceanside,20121003,"Whey Protein Concentrate, Net Weight: 1lb (454g)",1500 units,"True Nutrition is recalling Whey Protein Isolate, Whey Protein Concentrate, and Hydrolyzed Whey Protein because they contain undeclared milk.",MyoSci Technologies Inc.,F-2367-2012
41,CA,Fremont,20120926,"Peppermint lf, org C/S;  Distributed by San Francisco Herb and Natural Food Co.  Fremont, Ca.",xx,CA Department of Public Health inspectors found a pervasive infestation of mice in the facility.,San Francisco Herb & Natural Food Company,F-2318-2012
42,WI,Madison,20121128,"Tub labeled as Kay's Classic Vanilla Bean ice Cream.  UPC 87848-13021, 1.5 Quarts (1.42L).  Lid labeled as Kay's Classic Toasted Butter Pecan ice cream",4140 containers,Packaging error.  Toasted Butter Pecan ice cream was packaged in a container labeled as Vanilla Bean.  However the lid on the package did state Toasted Butter Pecan.,"Schoep's Ice Cream Co, Inc",F-0711-2013
43,CA,Sacramento,20120815,"Garden Highway Green Peppers & Yellow Onion sliced 3/8""  2 lb package.    Manufactured by GH Foods CA LLC,  Rancho Cordova, CA.",xx,GH Foods CA received notification from Gills onions of a recall of onions due to Listeria Monocytogenes. GH Foods used the recalled onions in numerous product.,GH Foods CA LLC,F-1908-2012
44,MA,Boston,20120905,"Costa Whole Peeled Onions (Item #00841, #B841) 25 lb poly bag Packed by: Fresh Ideas Co., 18 Bunker Hill Industrial Park, Boston, MA 02129  Item # 00254",262 cases,Products contain recalled Gill's Onions due to Listeria monocytogenes,Fresh Ideas Inc.,F-2067-2012
45,NC,Faison,20120905,"Fresh Whole Honey Dew Melons, packed in paper cartons labeled, Southeastern Growers Association, Fresh Melons. Individual melons were not labeled.",unknown,Product was found to be contaminated with Listeria monocytogenes.,Burch Farms,F-2032-2012
46,MI,Clinton,20120905,BUSCHS SOUP FROM FOOD BAR         Random weight/Sold by the pound,1839 LBS,Our product was recalled because one of the ingredients used was subject to the Gills Onion 07/25/2012 onion recall .  That ingredient was sold to us from Sysco Detroit.,"Busch's, Inc. - Central Production Facility",F-2092-2012
47,WI,Beloit,20120627,"KERRY, THREE CHEESE MINI SHELLS 10109, CH10109 , CONTAINS MILK, CH718592 Item Number I10109.859,  Net Wt 1600 Lb (725.69 Kg)",7.647 TT,Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,Kerry Foods,F-1486-2012
48,NM,Portales,20121031,"Sunland Pecan Deluxe Crunchy Peanut Butter, 40 lb, UPC 28725, Produced by Sunland Inc, Portales, NM 88130.",814 x 40 lb,"Sunland, Inc. is conducting a voluntary limited recall of its Almond Butter and Peanut Butter products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0373-2013
49,MI,Grand Rapids,20121024,#744 Sandwich - Sandwich Spread	sandwich,653,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",Spartan Central Kitchen,F-0164-2013
50,WI,Beloit,20120627,"KERRY, BATTER G3668, 1520374, CONTAINS MILK AND WHEAT, Item #G3668.MC1,  Net Wt 50 Lb (22.68Kg)",36.000 	BG,Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,Kerry Foods,F-1524-2012
51,WI,Milwaukee,20120919,"Weis Original Potato Salad, 16 oz., 0 41497 05838 9, 3 lb., 0 41497 05900 3, 5 lb., 0 11596 51102 3",,"Recalled salads, slaw, salsa, bean and dips contained onions that were recalled by Gills Onions due to potential Listeria monocytogenes contamination.","Garden-Fresh Foods, Inc.",F-2260-2012
52,CA,Vernon,20120627,"Frozen Korean Oyster Meat I.Q.F.:  , 1) 40x8oz., UPC 19964 30091; 2) 1x25lbs, .; 3) 5x4lbs.UPC 19964 30092",1) 83 units; 2) 800 units; 3) 13 units,"Red Chambers is recalling Dai One Food Oyster IQF 4lbs, 25 lbs, and 8 oz because the products have been prepared, packed, or held under insanitary conditions whereby it may have been contaminated with filth, or whereby it may have been rendered injurious to health.",Red Chamber Company,F-1542-2012
53,NJ,Deerfield,20120926,"Garden Pure Mixed Fruit Net Wt. 48 oz (1.36 kg) Best By: 8/28/12 and before   F& S Produce Co. Inc. Headquarters, Rosenhayn, NJ 08532      6 001172 00264 1",652 units,"F&S Produce Co., Inc. of Rosenhayn, NJ is initiating a voluntary recall of a limited quantity of expired products that contain fresh-cut mangoes, with a code date that is on or before August 28, 2012, as a result of a FDA recall by Splendid Products because Daniella brand mangoes distributed by this firm may be contaminated with Salmonella.","F & S Produce Co., Inc. (Site II)",F-2344-2012
54,MN,Inver Grove Heights,20121017,"CANTALOUPE,  PINEAPPLE AND WATERMELON:    H.Brooks & Company	33531 FRUIT MIX  CPW SPEARS 	15oz (425g) 4 per case UPC# 0 3823233531 7. 	    Distributed by H. Brooks & Co Mpls. MN55112.",372 cases total.,"Cut Fruit Express, Inc  processed cantaloupe that was later recalled by the supplier DFI Marketing due to a positive Salmonella sample.","Cut Fruit Express, Inc.",F-0035-2013
55,AR,Prescott,20120829,"Chocolate Pies:    Case Label (side 1) 24 COUNT FRAGILE FLYWHEEL'S PIES PRESCOTT, AR Ingredients:  Cocoa, Coconut, Sugar, Butter, Vanilla, Cornstarch, Eggs    Case Label (side 2) 24 COUNT FRAGILE FLYWHEEL'S PIES PRESCOTT, AR Ingredients:  Fruit, Sugar, Butter, Almond, Salt.    Pie Label:  Chocolate",,"Undeclared soy lecithin, partially hydrogenated soybean oil and wheat.",Flywheel's Pies,F-1960-2012
56,MI,Grand Rapids,20121024,#415 MME Grilled Salmon No Meat	 each,63,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",Spartan Central Kitchen,F-0197-2013
57,CA,Salinas,20120815,"River Ranch brand Diced Grn Cabbage w/Color, 4 x 5lb bag, UPC: n/a; Product is a salad item; bagged in clear polyethylene film (foodservice) and polypropylene/polyethylene (retail). Refrigerate and consume within Best By date. Product is processed and packaged by River Ranch Fresh Foods, LLC Salinas, CA",,"River Ranch was notified that two separate samples of products pulled by the FDA which were produced by River Ranch, tested positive for Listeria monocytogenes.",River Ranch Fresh Foods  LLC,F-1591-2012
58,MI,Detroit,20120711,"MUFFIN PLAIN (MEXICAN SWEET BREAD) IMPORTED BY ELCAMPEON LEAMINGTON 519-324-2616 4oz, UPC: 9564000029; and item #001",80 products (Canadian distribution only),The firm recalled 26 products for undeclared allergens. This product was recalled due to undeclared soy (soy flour and soybean oil).,Mexicantown Wholesale,F-1690-2012
59,WI,Beloit,20120627,"KERRY, PARM GARLIC SEAS 721221,  CONTAINS MILK, Item # 721221.399 & 721221.398 ,  Net Wt 50 Lb (22.68 Kg)",60 BG,Kerry has decided to voluntarily recall its lactic acid containing products because they are contaminated with  metal fragments.,Kerry Foods,F-1538-2012
60,MI,Grand Rapids,20121024,#703 Panini - Little Italy	sandwich,305,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination.  All lots with sell by dates on or befo",Spartan Central Kitchen,F-0170-2013
61,MI,Grand Rapids,20121024,#022 Salad Topper		8 ounces,443,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",Spartan Central Kitchen,F-0280-2013
62,MI,Grand Rapids,20121024,#704 Panini - Reuben	sandwich,215,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.).  The firm is voluntarily recalling all products manufactured from August 10th to September 10th 2012 due to the possible contamination.  No illnesses have been reported.",Spartan Central Kitchen,F-0169-2013
63,CA,Fullerton,20121003,"Wildwood Emerald Valley Kitchen Organic Medium Salsa, 30 oz. Pack size 6/30 oz per case, 14 oz  Pack size 6/14oz per case,     Packaged in plastic cup, sealed with film and capped with plastic cap. Product labeling reads in part:"" WILDWOOD Emerald Valley KITCHEN ORGANIC MEDIUM SALSA***MANUFACTURED BY PULMUONE FOODS USA, Inc. Fullerton, CA 92833***""","61,288 units",The firm recalled due to a potential non-safety quality concern related to a particular ingredient that was causing premature spoilage.,Pulmuone Wildwood Inc,F-2433-2012
64,NJ,Swedesboro,20121010,"Wawa mango and yogurt parfait Wt 7.5  oz (213 g) in rigid plastic trays Distributed by: Wawa, Inc. Wawa, PA 19063 UPC 726191070751",494 units,"Taylor Farms New Jersey is voluntarily recalling specific code dates of the following products due to containing Daniella Brand mangoes or potentially being processed on common equipment with the Daniella Brand mangoes since  Daniella Brand mangoes were identified by the CFIA as having the potential to be contaminated with Salmonella Braenderup, and are subject to a prior recall posted by CFIA and","Taylor Farms, Inc.",F-0022-2013
65,ND,Fargo,20120905,"CASS-CLAY, BUBBLE GUM, 3 GALLON  (11.34 L).",335 containers,"Cass-Clay Creamery is voluntarily recalling a number of ice cream products because they may contain undeclared red 40, Blue 1,  and Blue 2.",Cass Clay Creamery AMPI Fargo Division,F-2041-2012
66,CA,La Mesa,20120905,"8"" Turkey Sandwich",430 units total,The recall was initiated because Rita's Fine Food sandwiches have undeclared milk as a sub-ingredient in cheese.,"Rita's Fine Food, Inc. Dba Da Vinci's",F-2022-2012
67,CA,Gardena,20120822,"Crispy Just Baked Punjabi Cookies 800g, 14 cartons/case.",unknown,In response to firm's supplier recall in Canada and CFIA's allergy alert for undeclared milk in certain 800 g crispy just backed Punjabi cookies.,"Shah Distributors, Inc",F-1938-2012
68,OH,Wooster,20121121,"Pierre On The Go PB Jamwich Grape, 2.00oz, Pierre On The Go PB Jamwich Grape, 2.00oz, AdvancePierre Foods, Inc., 9990 Princeton Glendale Road, Cincinnati, OH 45246.",3.2 Million lbs. (total for all products),"Products were manufactured with peanut butter products recalled by Sunland, Inc. found to be contaminated with Salmonella.",Advance Pierre                                    N,F-0669-2013
69,NM,Portales,20121031,"Harry & David Creamy Caramel Peanut Spread, 12 oz, UPC 780994757868.",664 x 12 oz,"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.","Sunland, Incorporated",F-0432-2013
